213   "Киев"               3600.0     59000,59250    20:00-07:30
31    "Махачкала"          1126.6     34000,32500    07:30-19:05
14    "Мариуполь"          1200.03    35000,33750    08:25-19:30
23    "Харьков"            1400.0     37000,35250    09:10-20:15
666   "Харьков"            3500.4     58000,58000    19:30-12:35
4     "Одесса"             1600.0     39000,37250    10:00-21:30
71    "Кировоград"         2000.0     43000,42250    12:00-23:30
11    "Запорожье"          1700.11    40000,38500    10:35-22:15
31    "Львов"              1800.03    41000,39750    11:05-22:30
97    "Севастополь"        3100.0     54000,54000    17:30-07:10
84    "Николаев"           2800.2     51000,51250    16:00-08:30
64    "Ивано-Франковск"    1900.9     42000,41000    11:30-23:25
534   "Луцк"               2200.08    45000,44750    13:00-12:30
708   "Ужгород"            2100.0     44000,43500    12:35-14:00
33    "Луганск"            1300.4     60000,60500    20:30-17:45
112   "Бердянск"           3300.4     56000,56500    18:30-21:00
30    "Чернигов"           2400.0     47000,47250    14:00-09:30
19    "Черкассы"           2500.7     48000,48500    14:35-03:20
433   "Ровно"              2300.01    46000,46000    13:30-22:00
144   "Киев"               1500.0     38000,36000    09:35-21:15
78    "Полтава"            2600.3     49000,49750    15:00-08:30
56    "Херсон"             2700.04    50000,50000    15:30-21:00
22    "Одесса"             2900.0     52000,52500    16:30-19:05
96    "Симферополь"        3000.05    53000,53750    17:10-16:30
655   "Запорожье"          3400.6     57000,57750    19:00-13:35
43    "Мелитополь"         3200.0     55000,55250    18:15-21:30
45    "Луганск"            1300.66    61000,61750    21:00-17:45
17    "Луганск"            1300.66    36000,34500    08:30-20:10
801   "Мариуполь"          1200.03    62000,62000    21:55-04:00
30    "Чернигов"           2400.0     47000,47250    16:00-11:35
